pid,draft_year,actual_pick,was_drafted,y_window_complete,y_partial_seasons,y_early_war,y_early_war_log,y_redraft_rank,y_early_tier,y_early_tier_code,y_career_tier,y_draft_outcome,y_second_contract_aav,y_earnings_first5,y_all_star_selections,y_minutes_5yr,y_games_5yr,y_allstar_5yr,y_nba_seasons_total,y_s1_minutes,y_s1_war,y_s1_impact,y_s1_pts36,y_s1_tier_code,y_s2_minutes,y_s2_war,y_s2_impact,y_s2_pts36,y_s2_tier_code,y_s3_minutes,y_s3_war,y_s3_impact,y_s3_pts36,y_s3_tier_code,y_s4_minutes,y_s4_war,y_s4_impact,y_s4_pts36,y_s4_tier_code,y_s5_minutes,y_s5_war,y_s5_impact,y_s5_pts36,y_s5_tier_code,outcome_status
P8eb153b63d,2019,,0,True,1.0,-0.959109413,0.0,109.0,bust_track,1.0,cup_of_coffee,undrafted,,79568.0,0.0,145.0,13.0,0.0,1,145.0,-0.959109413,-14.48242106,6.810810810810812,0.0,,,,,,,,,,,,,,,,,,,,,final
P75585aef52,2019,,0,True,1.0,0.096831065,0.0924,60.0,bust_track,1.0,cup_of_coffee,undrafted,,,0.0,19.0,1.0,0.0,1,19.0,0.096831065,7.262828543,11.368421052631579,0.0,,,,,,,,,,,,,,,,,,,,,final
P84a6c851a9,2019,,0,True,3.0,-0.709352712898936,0.0,100.0,bust_track,1.0,fringe,undrafted,,1828367.0,0.0,540.0,46.0,0.0,3,87.0,0.238133821,2.048052534,12.827586206896552,0.0,297.0,-0.2544213876011283,-4.43430727109998,13.418181818181818,0.0,156.0,-0.6930651462978077,-11.51480009669188,7.0344827586206895,0.0,,,,,,,,,,,final
P4a4f2b1371,2019,,0,True,2.0,-0.0735341109863796,0.0,71.0,bust_track,1.0,cup_of_coffee,undrafted,,454889.0,0.0,46.0,12.0,0.0,2,31.0,-0.009652638,-3.359903502,6.9230769230769225,0.0,15.0,-0.0638814729863796,-11.160524459987203,7.2,0.0,,,,,,,,,,,,,,,,final
P5cd98708f1,2019,34.0,1,True,5.0,-0.5655637827370754,0.0,95.0,bust_track,1.0,fringe,met_expectations,2581522.0,9999515.0,0.0,2192.6,203.0,0.0,6,713.0,-0.343126569,-3.694991955,12.188976377952756,0.0,238.0,-0.7661401480328782,-9.106288024533628,7.9411764705882355,0.0,152.0,0.1337029342958029,-1.175766061940642,20.470588235294116,0.0,405.6,0.17,-1.9,13.499999999999998,0.0,684.0,0.24,-2.05,14.921052631578947,0.0,final
P9537391b0e,2019,,0,True,5.0,10.406258567509905,2.4342,13.0,starter_track,3.0,starter,undrafted,9594044.0,16542252.0,0.0,6549.9,266.0,0.0,7,317.0,0.925338126,2.982696539,12.681818181818182,0.0,818.0,0.6573827286711453,-1.172107930716839,11.688311688311687,1.0,1581.0,3.893537712838759,2.087233689660057,14.462882096069869,3.0,2080.3,3.6,0.35,11.795221843003413,2.0,1753.6,1.33,-1.33,13.138686131386862,1.0,final
P1ddfe32e8c,2019,36.0,1,True,5.0,7.395858325257781,2.1277,17.0,starter_track,3.0,role_player,met_expectations,8120000.0,19033912.0,0.0,4504.9,206.0,0.0,7,903.0,2.412441549,2.4916103579999995,9.574468085106382,1.0,849.0,1.129612187217947,-0.1307221013860087,8.83435582822086,1.0,1866.0,3.793804589039835,1.266306975372236,10.539923954372624,3.0,133.70000000000002,-0.01,-2.8,9.424083769633507,0.0,753.1999999999999,0.07,-2.48,10.037174721189592,0.0,final
Pf6658be174,2019,,0,True,2.0,0.0544017519675054,0.053,62.0,bust_track,1.0,cup_of_coffee,undrafted,,151556.0,0.0,12.0,2.0,0.0,2,4.0,0.0,0.0,19.45945945945946,0.0,8.0,0.0544017519675054,10.66761206587142,37.4025974025974,0.0,,,,,,,,,,,,,,,,final
P4a79c6caeb,2019,12.0,1,True,5.0,6.977568831966471,2.0766,20.0,starter_track,3.0,starter,met_expectations,16847826.0,34726821.0,0.0,10080.0,333.0,0.0,7,1759.0,-0.300597608,-3.084587607,14.495049504950494,0.0,1954.0,1.052515371075751,-1.697087620638543,15.226229508196722,0.0,1768.0,1.29565106889072,-1.317703403054125,13.632352941176471,1.0,2379.8,2.17,-1.07,17.337423312883434,1.0,2219.2,2.76,-0.49,15.276315789473687,1.0,final
P14a01dedf9,2019,33.0,1,True,3.0,-0.6420111444792238,0.0,97.0,bust_track,1.0,fringe,met_expectations,,4605372.0,0.0,711.0,72.0,0.0,3,351.0,-0.431588869,-5.120549057,12.505263157894735,0.0,281.0,-0.124918105348114,-3.614753515498333,16.179775280898873,0.0,79.0,-0.0855041701311098,-4.86833652529131,10.545454545454545,0.0,,,,,,,,,,,final
P519f028bfb,2019,,0,True,1.0,-0.07784649,0.0,73.0,bust_track,1.0,cup_of_coffee,undrafted,,,0.0,11.0,4.0,0.0,1,11.0,-0.07784649,-16.80373259,31.846153846153843,0.0,,,,,,,,,,,,,,,,,,,,,final
P5277c76d51,2019,18.0,1,True,5.0,3.727589006120011,1.5534,31.0,rotation_track,2.0,role_player,met_expectations,9057971.0,16316785.0,0.0,3171.8,249.0,0.0,7,471.0,-0.163076427,-3.427959137,13.24137931034483,0.0,561.0,0.5587065632955112,-0.7987874641080086,14.687999999999997,1.0,729.0,0.2219588698245002,-2.157749015884066,17.26027397260274,0.0,456.0,0.74,0.16,13.200000000000001,0.0,954.8000000000001,2.37,1.65,11.688311688311687,1.0,final
P4f7a1b04a6,2019,,0,True,5.0,0.7048468411544586,0.5335,47.0,rotation_track,2.0,role_player,undrafted,2165000.0,7098392.0,0.0,3936.0,227.0,0.0,6,135.0,-0.036887235,-3.285524174,9.63380281690141,0.0,519.0,1.078280603069662,1.305090717919728,15.886639676113361,1.0,1564.0,-0.9365465269152032,-3.922605934030781,14.060085836909868,0.0,1085.5,0.08,-2.51,13.149700598802395,0.0,632.5,0.52,-1.21,11.582608695652175,1.0,final
P47c5a2733b,2019,,0,True,5.0,5.305558166710818,1.8414,27.0,starter_track,3.0,role_player,undrafted,64301.0,10416291.0,0.0,3665.3,228.0,0.0,5,1209.0,3.084926696,1.9094312919999998,16.07142857142857,3.0,1074.0,0.2112041308379873,-2.36786983091794,17.79545454545454,0.0,536.0,1.379427339872831,2.237031680715432,20.916201117318437,1.0,838.4,0.65,-1.31,18.412213740458018,1.0,7.9,-0.02,-6.47,0.0,0.0,final
Pbea2d75e26,2019,9.0,1,True,5.0,0.14674560796869618,0.1369,54.0,rotation_track,2.0,role_player,met_expectations,18259259.0,36082089.0,0.0,7647.3,278.0,0.0,7,1444.0,-1.888844312,-5.33075465,16.146179401993354,0.0,1970.0,-0.7359189943878734,-3.489136925912984,15.771428571428572,0.0,943.0,-0.5284910856434302,-3.8569714570089424,18.080000000000002,0.0,1467.9,1.23,-1.19,17.304721030042916,1.0,1822.4,2.07,-0.68,18.268656716417908,1.0,final
Pc3b8b90cf8,2019,,0,True,3.0,-1.278018126078976,0.0,112.0,bust_track,1.0,fringe,undrafted,,1235338.0,0.0,692.0,65.0,0.0,3,54.0,-0.045028892,-4.479356827,15.42857142857143,0.0,438.0,-0.9626835724909965,-7.085601193551974,12.875912408759126,0.0,200.0,-0.2703056615879794,-5.404957304848166,12.24,0.0,,,,,,,,,,,final
P60e6add6f8,2019,,0,True,3.0,-0.20825136538744235,0.0,83.0,bust_track,1.0,fringe,undrafted,,2519025.0,0.0,1267.0,96.0,0.0,3,495.0,-0.5856596,-5.065638276,14.4,0.0,322.0,0.4374079653783799,-0.0900210454912773,17.608695652173914,0.0,450.0,-0.0599997307658223,-3.013602939083847,13.68,0.0,,,,,,,,,,,final
