pid,draft_year,actual_pick,was_drafted,y_window_complete,y_partial_seasons,y_early_war,y_early_war_log,y_redraft_rank,y_early_tier,y_early_tier_code,y_career_tier,y_draft_outcome,y_second_contract_aav,y_earnings_first5,y_all_star_selections,y_minutes_5yr,y_games_5yr,y_allstar_5yr,y_nba_seasons_total,y_s1_minutes,y_s1_war,y_s1_impact,y_s1_pts36,y_s1_tier_code,y_s2_minutes,y_s2_war,y_s2_impact,y_s2_pts36,y_s2_tier_code,y_s3_minutes,y_s3_war,y_s3_impact,y_s3_pts36,y_s3_tier_code,y_s4_minutes,y_s4_war,y_s4_impact,y_s4_pts36,y_s4_tier_code,y_s5_minutes,y_s5_war,y_s5_impact,y_s5_pts36,y_s5_tier_code,outcome_status
P2e38feab3a,2022,,0,True,1.0,-0.05,0.0,49.0,bust_track,1.0,cup_of_coffee,undrafted,,5849.0,0.0,20.8,1.0,0.0,1,20.8,-0.05,-6.74,12.115384615384615,0.0,,,,,,,,,,,,,,,,,,,,,final
P76ebdc8d77,2022,31.0,1,False,4.0,5.11,1.8099,16.0,partial_rotation_track,,role_player,unresolved,,24497715.0,0.0,7432.6,265.0,0.0,4,2070.0,-0.88,-3.38,12.391304347826088,0.0,1700.0,1.54,-1.08,13.248,1.0,1878.5,2.79,-0.07,12.456747404844291,1.0,1784.1000000000001,1.66,-1.03,19.437699680511177,1.0,,,,,,partial
P3698c87daf,2022,,0,True,2.0,-0.09,0.0,55.0,bust_track,1.0,cup_of_coffee,undrafted,,1326982.0,0.0,461.6,36.0,0.0,2,455.6,-0.05,-2.84,11.014925373134327,0.0,6.0,-0.04,-14.31,24.0,0.0,,,,,,,,,,,,,,,,final
P9d848af991,2022,14.0,1,False,4.0,-0.8099999999999999,0.0,73.0,partial_bust_track,,role_player,unresolved,,18726365.0,0.0,5561.7,263.0,0.0,4,1209.5,-0.18,-2.91,13.873170731707319,0.0,1638.0,-1.22,-3.94,9.942857142857143,0.0,1740.8,1.44,-1.21,13.764705882352942,1.0,973.4,-0.85,-4.16,11.694267515923565,0.0,,,,,,partial
P9e732e040b,2022,,0,False,4.0,-0.59,0.0,70.0,partial_bust_track,,fringe,undrafted,,4792627.0,0.0,1959.6000000000001,123.0,0.0,4,232.20000000000002,-0.39,-5.58,13.3953488372093,0.0,372.0,-0.19,-3.52,13.935483870967742,0.0,1267.2,0.03,-2.6,16.181818181818183,0.0,88.2,-0.04,-3.39,17.142857142857142,0.0,,,,,,partial
P6521ad0003,2022,,0,False,4.0,8.88,2.2905,7.0,partial_starter_track,,role_player,undrafted,,6508891.0,0.0,5983.200000000001,255.0,0.0,4,319.6,-0.17,-3.55,18.574468085106382,0.0,1465.2,0.99,-1.48,12.363636363636363,1.0,1935.2,1.87,-0.97,15.101694915254239,1.0,2263.2000000000003,6.19,2.09,14.478260869565215,3.0,,,,,,partial
P8d79cd923c,2022,,0,False,4.0,4.76,1.7509,17.0,partial_starter_track,,role_player,undrafted,,4358254.0,0.0,2453.6000000000004,116.0,0.0,4,31.799999999999997,-0.05,-5.2,15.622641509433961,0.0,527.1,0.88,0.26,18.50199203187251,1.0,1682.7,3.89,1.36,16.732394366197184,3.0,212.0,0.04,-2.34,19.358490566037737,0.0,,,,,,partial
P7c29e11a29,2022,49.0,1,True,3.0,-0.04000000000000001,0.0,48.0,bust_track,1.0,cup_of_coffee,met_expectations,,1080670.0,0.0,173.4,23.0,0.0,3,84.0,0.03,-1.98,13.371428571428572,0.0,72.0,-0.13,-5.79,11.5,0.0,17.4,0.06,2.84,12.413793103448278,0.0,,,,,,,,,,,final
Pe22f69b7a0,2022,41.0,1,False,3.0,-0.23,0.0,62.0,partial_bust_track,,cup_of_coffee,unresolved,,4430577.0,0.0,424.40000000000003,46.0,0.0,3,23.2,-0.01,-3.35,6.206896551724138,0.0,52.800000000000004,-0.02,-3.31,14.727272727272727,0.0,348.40000000000003,-0.2,-3.65,15.313432835820896,0.0,,,,,,,,,,,partial
Pd3eb42d2a8,2022,55.0,1,False,3.0,2.3600000000000003,1.2119,26.0,partial_rotation_track,,role_player,unresolved,,5143017.0,0.0,2348.8,147.0,0.0,3,193.20000000000002,0.18,-1.05,15.428571428571425,0.0,761.6,0.62,-1.23,10.852941176470585,1.0,1394.0,1.56,-0.71,16.15609756097561,1.0,,,,,,,,,,,partial
