pid,draft_year,actual_pick,was_drafted,y_window_complete,y_partial_seasons,y_early_war,y_early_war_log,y_redraft_rank,y_early_tier,y_early_tier_code,y_career_tier,y_draft_outcome,y_second_contract_aav,y_earnings_first5,y_all_star_selections,y_minutes_5yr,y_games_5yr,y_allstar_5yr,y_nba_seasons_total,y_s1_minutes,y_s1_war,y_s1_impact,y_s1_pts36,y_s1_tier_code,y_s2_minutes,y_s2_war,y_s2_impact,y_s2_pts36,y_s2_tier_code,y_s3_minutes,y_s3_war,y_s3_impact,y_s3_pts36,y_s3_tier_code,y_s4_minutes,y_s4_war,y_s4_impact,y_s4_pts36,y_s4_tier_code,y_s5_minutes,y_s5_war,y_s5_impact,y_s5_pts36,y_s5_tier_code,outcome_status
P9305edebac,2023,,0,True,1.0,-0.09,0.0,45.0,bust_track,1.0,cup_of_coffee,undrafted,,35389.0,0.0,7.4,1.0,0.0,1,7.4,-0.09,-23.31,0.0,0.0,,,,,,,,,,,,,,,,,,,,,final
Pc4ba85a58f,2023,32.0,1,False,3.0,0.45,0.3716,24.0,partial_bust_track,,fringe,unresolved,,5821677.0,0.0,1592.9,126.0,0.0,3,121.5,0.02,-2.42,12.8,0.0,666.4,0.2,-2.13,10.852941176470589,0.0,805.0000000000001,0.23,-2.14,11.627329192546583,0.0,,,,,,,,,,,partial
Pae8a88e0e7,2023,,0,True,1.0,0.05,0.0488,34.0,bust_track,1.0,cup_of_coffee,undrafted,,559782.0,0.0,21.6,6.0,0.0,1,21.6,0.05,1.56,20.0,0.0,,,,,,,,,,,,,,,,,,,,,final
P2dc9628338,2023,,0,False,3.0,0.25,0.2231,29.0,partial_rotation_track,,fringe,undrafted,,2252103.0,0.0,1503.0000000000002,111.0,0.0,3,25.799999999999997,-0.03,-4.92,5.86046511627907,0.0,249.60000000000002,0.18,-1.37,14.062499999999998,0.0,1227.6000000000001,0.1,-2.5,13.93548387096774,0.0,,,,,,,,,,,partial
Pc51154c628,2023,,0,True,1.0,-0.06,0.0,43.0,bust_track,1.0,cup_of_coffee,undrafted,,,0.0,113.6,8.0,0.0,1,113.6,-0.06,-3.59,10.140845070422536,0.0,,,,,,,,,,,,,,,,,,,,,final
P18c14dbf8f,2023,51.0,1,False,3.0,-3.15,0.0,82.0,partial_bust_track,,fringe,unresolved,,3071677.0,0.0,3555.4,176.0,0.0,3,666.5,-0.19,-3.15,11.612903225806452,0.0,2030.3,-1.08,-3.57,13.30739299610895,0.0,858.6,-1.88,-6.43,14.49056603773585,0.0,,,,,,,,,,,partial
P8bf21cf88b,2023,,0,True,1.0,-0.01,0.0,36.0,bust_track,1.0,cup_of_coffee,undrafted,,559782.0,0.0,2.6,1.0,0.0,1,2.6,-0.01,-7.9,0.0,0.0,,,,,,,,,,,,,,,,,,,,,final
P2890042448,2023,,0,True,2.0,-0.17,0.0,47.0,bust_track,1.0,cup_of_coffee,undrafted,,495186.0,0.0,68.80000000000001,8.0,0.0,2,35.6,-0.04,-4.38,11.325842696629213,0.0,33.2,-0.13,-9.67,3.469879518072289,0.0,,,,,,,,,,,,,,,,final
P57690f53ec,2023,,0,True,1.0,-0.03,0.0,39.0,bust_track,1.0,cup_of_coffee,undrafted,,218766.0,0.0,2.7,1.0,0.0,1,2.7,-0.03,-21.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,,final
P5dad28f6cf,2023,,0,True,1.0,-0.41,0.0,57.0,bust_track,1.0,cup_of_coffee,undrafted,,466485.0,0.0,226.60000000000002,22.0,0.0,1,226.60000000000002,-0.41,-5.74,5.242718446601941,0.0,,,,,,,,,,,,,,,,,,,,,final
P5d94de4385,2023,,0,False,3.0,-0.7300000000000001,0.0,69.0,partial_bust_track,,fringe,undrafted,,2044315.0,0.0,512.0,46.0,0.0,3,59.2,-0.07,-4.8,14.594594594594595,0.0,431.6,-0.61,-5.1,10.192771084337348,0.0,21.2,-0.05,-6.67,8.830188679245284,0.0,,,,,,,,,,,partial
P51e5ade0ce,2023,3.0,1,False,3.0,-1.9,0.0,80.0,partial_bust_track,,role_player,unresolved,,30778347.0,0.0,4276.2,158.0,0.0,3,1767.0,-2.79,-5.38,17.68421052631579,0.0,1762.2,0.64,-2.02,17.123595505617974,0.0,747.0,0.25,-2.07,20.53012048192771,0.0,,,,,,,,,,,partial
P4e9a2418a1,2023,,0,True,1.0,-0.04,0.0,41.0,bust_track,1.0,cup_of_coffee,undrafted,,389274.0,0.0,30.0,4.0,0.0,1,30.0,-0.04,-4.67,13.44,0.0,,,,,,,,,,,,,,,,,,,,,final
P5698276a02,2023,29.0,1,False,3.0,-1.5600000000000003,0.0,78.0,partial_bust_track,,fringe,unresolved,,7657788.0,0.0,2790.2,172.0,0.0,3,545.0,-0.68,-4.8,14.862385321100918,0.0,1384.5,-1.08,-4.0,15.211267605633802,0.0,860.6999999999999,0.2,-2.25,17.165562913907287,0.0,,,,,,,,,,,partial
Pe8ffde2213,2023,,0,False,3.0,0.26,0.2311,28.0,partial_bust_track,,fringe,undrafted,,1774793.0,0.0,744.6,49.0,0.0,3,41.6,0.06,-0.15,22.846153846153843,0.0,254.79999999999998,0.14,-1.69,15.032967032967033,0.0,448.20000000000005,0.06,-2.43,16.915662650602407,0.0,,,,,,,,,,,partial
P2db6f2cc8f,2023,33.0,1,False,3.0,0.88,0.6313,21.0,partial_bust_track,,fringe,unresolved,,5913534.0,0.0,801.5,76.0,0.0,3,52.7,0.2,3.82,19.741935483870964,0.0,31.2,0.04,-0.23,22.5,0.0,717.6,0.64,-1.09,18.0,1.0,,,,,,,,,,,partial
P3fd81a75e9,2023,,0,True,1.0,-0.02,0.0,37.0,bust_track,1.0,cup_of_coffee,undrafted,,64343.0,0.0,3.4,1.0,0.0,1,3.4,-0.02,-15.11,42.35294117647059,0.0,,,,,,,,,,,,,,,,,,,,,final
P3dd06c5ebd,2023,18.0,1,False,3.0,5.6899999999999995,1.9006,10.0,partial_rotation_track,,role_player,unresolved,,11057940.0,0.0,5603.7,216.0,0.0,3,2115.0,1.31,-1.57,15.191489361702128,0.0,1366.2,1.15,-1.19,14.956521739130435,1.0,2122.5,3.23,-0.01,19.59010600706714,1.0,,,,,,,,,,,partial
P9aef7770b8,2023,,0,True,1.0,0.14,0.131,30.0,bust_track,1.0,cup_of_coffee,undrafted,,559782.0,0.0,84.8,16.0,0.0,1,84.8,0.14,0.29,22.41509433962264,0.0,,,,,,,,,,,,,,,,,,,,,final
P47a1cc70a3,2023,23.0,1,False,3.0,0.44999999999999996,0.3716,25.0,partial_rotation_track,,role_player,unresolved,,8969544.0,0.0,3721.0999999999995,188.0,0.0,3,1345.3999999999999,-0.56,-3.37,10.119815668202765,0.0,1041.8999999999999,0.06,-2.55,10.013245033112586,0.0,1333.8,0.95,-1.41,8.923076923076922,1.0,,,,,,,,,,,partial
P26ad072598,2023,25.0,1,False,3.0,0.6799999999999999,0.5188,23.0,partial_rotation_track,,fringe,unresolved,,8265688.0,0.0,2614.4,166.0,0.0,3,1349.0,-0.39,-3.14,15.726315789473686,0.0,809.4,0.73,-1.09,16.732394366197184,1.0,456.0,0.34,-1.34,15.6,0.0,,,,,,,,,,,partial
Pd5f2794063,2023,55.0,1,True,2.0,-0.21,0.0,50.0,bust_track,1.0,cup_of_coffee,met_expectations,,987661.0,0.0,270.3,21.0,0.0,2,4.3,-0.03,-14.09,16.74418604651163,0.0,266.0,-0.18,-3.81,16.2406015037594,0.0,,,,,,,,,,,,,,,,final
P3860306e22,2023,,0,False,3.0,0.06,0.0583,33.0,partial_bust_track,,cup_of_coffee,undrafted,,1649885.0,0.0,129.60000000000002,31.0,0.0,3,37.800000000000004,0.03,-1.05,11.999999999999998,0.0,74.80000000000001,0.0,-2.59,11.454545454545451,0.0,17.0,0.03,0.0,16.941176470588236,0.0,,,,,,,,,,,partial
